player,team,gp,pts,reb,ast,tov,fg_m,fg_a,tp_m,tp_a,ft_m,ft_a,stl,blk,pm,ppg,rpg,apg,fg_pct,tp_pct,ft_pct,ts_pct,pm_per_g
Aaron Wiggins,OKC,4,9,2,0,3,4,17,1,8,0,0,0,1,-10,2.2,0.5,0.0,23.5,12.5,0.0,26.5,-2.5
Ajay Mitchell,OKC,3,16,9,8,6,7,18,0,4,2,2,6,2,15,5.3,3.0,2.7,38.9,0.0,100.0,42.4,5.0
Alex Caruso,OKC,7,104,17,18,8,31,65,20,40,22,27,9,8,33,14.9,2.4,2.6,47.7,50.0,81.5,67.6,4.7
Carter Bryant,SAS,7,17,11,3,5,7,15,3,10,0,0,2,2,-20,2.4,1.6,0.4,46.7,30.0,0.0,56.7,-2.9
Cason Wallace,OKC,7,71,33,19,5,24,49,18,36,5,6,18,3,-2,10.1,4.7,2.7,49.0,50.0,83.3,68.7,-0.3
Chet Holmgren,OKC,7,75,50,7,10,26,51,3,11,20,26,5,9,-14,10.7,7.1,1.0,51.0,27.3,76.9,60.1,-2.0
De'Aaron Fox,SAS,5,56,26,31,7,23,63,5,22,5,7,8,1,16,11.2,5.2,6.2,36.5,22.7,71.4,42.4,3.2
Devin Vassell,SAS,7,97,34,17,7,31,77,21,53,14,16,12,7,34,13.9,4.9,2.4,40.3,39.6,87.5,57.7,4.9
Dylan Harper,SAS,7,84,40,23,12,29,63,7,20,19,23,7,1,53,12.0,5.7,3.3,46.0,35.0,82.6,57.4,7.6
Harrison Barnes,SAS,6,16,7,0,4,3,13,3,10,7,8,1,0,5,2.7,1.2,0.0,23.1,30.0,87.5,48.4,0.8
Isaiah Hartenstein,OKC,7,58,55,19,12,26,49,0,1,6,9,2,3,-33,8.3,7.9,2.7,53.1,0.0,66.7,54.8,-4.7
Isaiah Joe,OKC,4,17,9,6,2,6,17,4,14,1,1,2,1,-1,4.2,2.2,1.5,35.3,28.6,100.0,48.7,-0.2
Jalen Williams,OKC,3,31,8,4,4,13,30,1,4,4,5,3,1,-19,10.3,2.7,1.3,43.3,25.0,80.0,48.1,-6.3
Jared McCain,OKC,7,92,20,11,10,34,93,13,46,11,14,5,0,12,13.1,2.9,1.6,36.6,28.3,78.6,46.4,1.7
Jaylin Williams,OKC,7,45,37,11,2,16,38,10,28,3,3,2,0,0,6.4,5.3,1.6,42.1,35.7,100.0,57.2,0.0
Jordan McLaughlin,SAS,5,13,7,4,2,4,8,3,5,2,2,0,0,-10,2.6,1.4,0.8,50.0,60.0,100.0,73.2,-2.0
Julian Champagnie,SAS,7,83,43,11,5,29,71,18,55,7,10,8,7,35,11.9,6.1,1.6,40.8,32.7,70.0,55.0,5.0
Keldon Johnson,SAS,7,69,20,4,8,27,66,10,30,5,9,3,3,-11,9.9,2.9,0.6,40.9,33.3,55.6,49.3,-1.6
Kelly Olynyk,SAS,4,14,2,0,2,4,7,2,3,4,5,3,0,3,3.5,0.5,0.0,57.1,66.7,80.0,76.1,0.8
Kenrich Williams,OKC,5,32,16,5,2,11,24,6,13,4,4,1,0,-4,6.4,3.2,1.0,45.8,46.2,100.0,62.1,-0.8
Lindy Waters III,SAS,1,2,0,1,0,1,2,0,1,0,0,2,0,1,2.0,0.0,1.0,50.0,0.0,0.0,50.0,1.0
Luguentz Dort,OKC,7,30,21,9,4,12,35,5,25,1,2,3,1,-63,4.3,3.0,1.3,34.3,20.0,50.0,41.8,-9.0
Luke Kornet,SAS,6,19,23,3,4,8,15,0,0,3,4,1,3,-32,3.2,3.8,0.5,53.3,0.0,75.0,56.7,-5.3
Mason Plumlee,SAS,1,2,0,1,0,1,1,0,0,0,0,0,1,0,2.0,0.0,1.0,100.0,0.0,0.0,100.0,0.0
Nikola Topic,OKC,2,2,0,0,0,1,3,0,0,0,0,0,0,1,1.0,0.0,0.0,33.3,0.0,0.0,33.3,0.5
Shai Gilgeous-Alexander,OKC,7,181,20,62,22,56,137,8,28,61,65,13,6,-35,25.9,2.9,8.9,40.9,28.6,93.8,54.6,-5.0
Stephon Castle,SAS,7,126,35,53,32,40,86,7,30,39,46,9,3,1,18.0,5.0,7.6,46.5,23.3,84.8,59.3,0.1
Victor Wembanyama,SAS,7,191,76,22,19,62,129,16,40,51,57,10,19,62,27.3,10.9,3.1,48.1,40.0,89.5,62.0,8.9
