game,team,pts,fg_m,fg_a,tp_m,tp_a,ft_m,ft_a,oreb,dreb,ast,tov,stl,blk,paint,fastbreak,second_chance,bench,pts_off_to,ortg,drtg,ts_pct,efg_pct,poss,rim_m,rim_a,mid_m,mid_a
G1,OKC,115,41,101,17,45,16,19,9,31,25,14,14,8,38,16,8,50,28,99.7,104.5,52.6,49.0,115.4,15,27,0,0
G1,SAS,122,41,96,13,43,27,29,15,46,25,15,11,7,52,9,13,16,17,104.5,99.7,56.1,49.5,116.8,20,35,2,5
G2,OKC,122,45,94,13,36,19,24,17,24,34,10,14,4,42,8,17,57,27,125.1,117.1,58.3,54.8,97.6,12,19,11,19
G2,SAS,113,41,84,16,40,15,17,16,29,22,21,5,8,46,10,22,25,10,117.1,125.1,61.8,58.3,96.5,20,29,3,9
G3,OKC,123,39,80,15,35,28,33,7,34,29,11,7,4,42,2,22,76,20,123.6,107.4,64.4,58.6,99.5,11,15,1,10
G3,SAS,108,34,80,13,41,27,33,9,28,26,15,8,7,40,13,17,23,16,107.4,123.6,57.1,50.6,100.5,16,24,1,6
G4,OKC,82,30,91,6,33,16,18,11,36,20,17,9,5,36,7,14,34,13,76.0,99.9,41.4,36.3,107.9,14,29,6,17
G4,SAS,103,35,90,9,33,24,32,14,38,24,12,11,12,50,18,17,30,25,99.9,76.0,49.5,43.9,103.1,19,34,1,9
G5,OKC,127,40,83,14,32,33,36,14,34,26,17,8,5,38,9,26,40,20,123.6,107.5,63.7,56.6,102.7,15,24,4,11
G5,SAS,114,37,91,12,41,28,32,15,26,25,16,14,4,46,26,15,33,22,107.5,123.6,53.7,46.7,106.1,17,28,2,7
G6,OKC,91,35,93,10,39,11,12,12,30,22,13,8,4,38,10,18,38,11,90.7,116.8,45.8,42.6,100.3,12,26,6,12
G6,SAS,118,41,87,15,41,21,25,11,41,30,13,8,7,44,18,14,46,15,116.8,90.7,59.6,55.1,101.0,13,20,4,5
G7,OKC,103,37,83,12,35,17,22,10,28,23,14,9,5,32,7,20,37,9,106.5,118.9,55.6,51.8,96.7,5,12,9,16
G7,SAS,111,40,88,17,40,14,19,15,25,21,12,9,2,34,19,17,27,19,118.9,106.5,57.6,55.1,93.4,16,29,6,11
